Регіон;1950;1960;1970;1990;2000;2012;2014;2019
Крим;23;20,6;16;13;7,3;12,6;—;—
Вінницька;22,4;19,2;14,2;12,4;8,4;11,2;10,9;7,6
Волинська;24,7;25;17,9;15,3;11,2;14,8;14,1;10,1
Дніпропетровська;20,4;20,4;15,1;12,3;7,1;11,2;11,1;7,1
Донецька;27,1;21,4;14;10,9;6,1;9,8;8,2;—
Житомирська;26,1;22,3;15,9;12,9;8,9;12,2;12;7,9
Закарпатська;31,4;27,3;20,7;16,8;11,5;15,1;14,6;10,4
Запорізька;21,9;19,7;15;12,4;7,1;10,6;10,6;6,8
Івано-Франківська;24,3;24,8;18,2;15,5;10,3;12,4;12,2;8,8
Київська;20,4;18,9;15,6;12,3;7,3;12,2;12,1;8
Кіровоградська;21,6;17,1;14,5;12,6;7,9;11;10,8;6,8
Луганська;26,2;23,5;14,4;11,6;6,2;9,6;5,1;—
Львівська;23,4;24;17,1;14;9,1;11,9;11,9;8,7
Миколаївська;21,1;19,4;15,5;13,7;8;11,5;11,2;7,1
Одеська;24,1;19,2;14,8;12,6;8;12,7;12,3;8,8
Полтавська;18,6;16,3;13,1;11,8;7;9,9;10;6,5
Рівненська;26,9;26,7;19,3;15,8;11,8;15,9;14,8;10,7
Сумська;21,6;18,4;13,2;11,5;7;9,7;9,2;6
Тернопільська;21,3;21,6;15,7;14,2;9,2;11,3;10,9;7,6
Харківська;19,7;17,3;14;11,4;6,8;9,9;10,1;6,8
Херсонська;20,8;21,4;16,6;14,3;8,5;11,7;11,5;8,1
Хмельницька;23,4;19,8;14,8;12,9;8,5;11,3;11,2;7,9
Черкаська;20,5;17,9;14,4;12,3;7,5;10;9,8;6,4
Чернівецька;24,7;21,8;17;14,8;10,1;12,8;12,9;9,2
Чернігівська;22;18,3;12,7;10,8;6,9;9,4;9;6,1
Київ;;17,4;15,9;12;7,3;12;12,1;11
Севастополь;;;;12,5;7;12;—;—
Україна;22,8;20,5;15,2;12,6;7,8;11,4;11,1;8,1
